	DMDYC4J	DMCVJK9	DM21WBH	DM42PFT	DMF3DZX	DMSFWT7	DMH5RFU	DMN9YOB	DMBZMYT	DM5DMCH
GSM3507277	-0.011478484926288621	0.013912623607016485	-0.11064371756919546	-0.07215737426424333	-0.34598393923363513	-0.1435231479973384	-0.16692796477592153	-0.31513560819973696	-0.09947029869211753	-0.038213689158930045
GSM3507278	0.322823802296551	0.29887610252146307	0.45532101568579475	0.43387185924813343	-0.16962097188751238	0.3812063424174426	0.44492658750496517	-0.15237251951265918	0.37152652716444323	0.5006804726842443
GSM3507279	0.06709109773326481	0.06741928335918793	0.1426450334751311	0.14984239482741987	-0.28560611897066945	0.10952593846193634	0.12006140232924711	-0.28333701309497783	0.10706480259789965	0.15650484657241284
GSM3507280	0.05034354949659835	0.04878324699521143	0.10162755383482115	0.11599852310773935	-0.014861563217954343	0.11443754585899385	0.10364183231968853	-0.00883644673644731	0.10428035499791789	0.1822175263874481
GSM3507281	-0.1394437066478129	-0.12541910530542383	-0.11273991682492296	-0.06037048702333575	0.12659796694416592	-0.033153450109799205	-0.05411731553503765	0.11573876744488633	-0.04264878891136471	-0.06774561000148811
GSM3507282	0.4027379689176045	0.3965844935822256	0.46243269598244763	0.4720960549031245	0.13381579236953595	0.42603509904981707	0.46889061409940946	0.13927129184889997	0.42777936468489414	0.6054541134071387
GSM3507283	0.024550391457385145	0.02133999456982825	-0.019033732850043436	0.03327886538289065	-0.4525896778987366	-0.09664953103691282	-0.06259261018642712	-0.44776493573746545	-0.07929614838148383	0.0384053259807977
GSM3507284	-0.2389082362176161	-0.219977382657104	-0.11887715277654488	-0.13640598447629296	0.16588363628614114	-0.07209683014065951	-0.12588796317225626	0.18983217251606743	-0.07042537496699444	-0.1394871657030166
GSM3507285	0.7136138531468773	0.7011070524053172	0.6970261421528117	0.7649740785212219	-0.6116831154756975	0.5774620984781108	0.6757230660843111	-0.6062722823160446	0.5971237590764293	0.8079312341870678
GSM3507286	0.04770585602833297	0.042005105845002035	0.18273344581488743	0.15551210009809407	0.021580158400991766	0.06786108383217634	0.12439205535610094	0.004174517109400887	0.103752257198944	0.29080081976913025
GSM3507287	1.0869738293922164	1.0480580926139074	1.1662097225845995	1.1989133770046851	-0.5706673198292345	1.0464655552072444	1.1774210047864957	-0.5637677104781602	1.0404907503531398	1.3718894312310197
GSM3507288	0.45082621079310525	0.45123033282411534	0.40798162369462493	0.4066712680445706	0.010266628225663746	0.36079441708149745	0.3837581937489282	-0.00482858658128725	0.37891509601800627	0.5546134211621908
GSM3507289	0.6179404719354828	0.607658539817649	0.8280554921049668	0.8560233874865639	-0.2459919405952811	0.7919020487280631	0.8680428664388653	-0.19543121461229013	0.7689268831434335	0.9260346242746686
GSM3507290	-0.5858799664683164	-0.5679598537797642	-0.6358038903442647	-0.6590631519680435	0.30966778249040855	-0.5569091377876051	-0.6445475397679228	0.3154642927529451	-0.5280788354961986	-0.7496724379935491
