	DMDYC4J	DMDYC4J	DMDYC4J	DM21WBH	DM21WBH	DM21WBH	DMCVJK9	DMCVJK9	DMCVJK9	DM42PFT	DM42PFT	DM42PFT	DMSFWT7	DMSFWT7	DMSFWT7	DMH5RFU	DMH5RFU	DMH5RFU	DMF3DZX	DMF3DZX	DMF3DZX	DM38N2K	DM38N2K	DM38N2K	DMBZMYT	DMBZMYT	DMBZMYT	DMBPNKT	DMBPNKT	DMBPNKT
	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count	mean	std	count
group																														
Control	-0.4302029769455199	0.915970060054589	10	-0.5237873670174505	0.9917298728495769	10	-0.4349712451232891	0.8939663791207474	10	-0.5428800711263004	1.0053430624236126	10	-0.4642649062756024	0.9128653195166948	10	-0.512107553430677	1.0036216321627853	10	0.33108998002899337	0.4901386807770663	10	0.38391994467389345	0.7271703201190044	10	-0.46990566354851	0.8914822005197776	10	0.3414539132514755	0.6937720338402783	10
Disease	0.1434009923151736	0.4503561098936857	30	0.17459578900581707	0.5082486880695869	30	0.14499041504109667	0.43927334813318264	30	0.18096002370876693	0.5243442125835575	30	0.1547549687585342	0.46022100829987683	30	0.17070251781022586	0.5166838765767463	30	-0.11036332667633149	0.2703635424781268	30	-0.127973314891298	0.5180392889328612	30	0.1566352211828369	0.4549225743856249	30	-0.11381797108382538	0.5018488961960277	30
