	DMDYC4J	DM21WBH	DMCVJK9	DM42PFT	DMSFWT7	DMH5RFU	DMF3DZX	DM38N2K	DMBZMYT	DMBPNKT
GSM3507251	1.1059341214479579	0.9998239405761534	1.057805824407766	1.0323973424559656	1.02750634613891	1.1052009715358744	-0.25517910769168894	-0.40219824248660163	0.952149219720515	-0.4075644788030265
GSM3507252	-1.1643992271680863	-1.277501641042977	-1.1447654591138943	-1.2729094143505222	-1.151427099472359	-1.2855588697263098	0.49444950132245524	1.1474075741531007	-1.1336857351198508	1.0474600051170466
GSM3507253	-0.7361743013620989	-0.8414763354884949	-0.7306505111962279	-0.8485814875511345	-0.8386768614913269	-0.874765185917484	-0.0981538737890219	0.528734106768463	-0.8079036538197574	0.4615059269067838
GSM3507254	-1.0489966448784074	-1.2330606595295759	-1.0408505021988077	-1.2607398427045817	-1.1089834849648081	-1.2510866666704827	0.6475661968733257	1.576567088792843	-1.0682491848797993	1.5060014348066524
GSM3507255	-1.1731449771144697	-1.3250905085980536	-1.1728995780251905	-1.3788422104858589	-1.1479566556603102	-1.2688087656826936	0.8050075541180038	0.8030045928028798	-1.1504576669554147	0.7470562619149499
GSM3507256	0.09689515394480344	0.10325995236187646	0.09063814490041956	0.08438290685593594	0.18043298922018147	0.16555550950543493	0.5623022710062703	-0.7315053000721659	0.11017753497282053	-0.7414656854612787
GSM3507257	-1.762334895645711	-1.9957115887660375	-1.7321773812089678	-2.0608688185076116	-1.8191286446027717	-1.9867335203447978	1.1370427637526335	0.8044042242555848	-1.8312890456647426	0.7193531701725363
GSM3507258	0.31200105106072806	0.46477719834049736	0.29962647980324925	0.4554085047540592	0.3311529661190756	0.42247577077527193	-0.39209301043274836	0.11110219760265987	0.32886523097781817	0.08468944917183123
GSM3507259	-0.5087412270028826	-0.6832393136554157	-0.5190309143456165	-0.6678788775008627	-0.5891128511218822	-0.6693069848065218	0.3165571511535534	0.27486400093944846	-0.5844721933260368	0.24468477695765542
GSM3507260	0.5769311772629675	0.5503452856275213	0.5425914457443787	0.4888311857716069	0.4735442330792671	0.5219522070249374	0.0934003539771513	-0.2731807960172774	0.4858088586093479	-0.24718172826839532
GSM3507261	0.5423550530449167	0.6246827862376857	0.5204116735938019	0.6440331378102482	0.5797868495647104	0.6286184454240872	-0.19976082395278516	-0.43876855330290176	0.573333916959467	-0.450364271624604
GSM3507262	0.3282527815309268	0.4349028152900393	0.3372308661578479	0.454046650529278	0.4540328105629008	0.4842636321052383	-0.1423943284284706	-0.35645172537484293	0.46000459395961024	-0.3499527576849278
GSM3507263	0.8975819743148167	1.0110468862320143	0.8846719984686967	1.072891688079674	0.9446981936134285	1.060968484346343	-0.12120351427040128	-1.0425996518241776	0.9118758175696872	-0.9926113187322831
GSM3507264	-0.05940139941050903	-0.06378549871799803	-0.050700834707805946	-0.08878276360354558	-0.07484824517034382	-0.08100628181515042	0.07476071433301504	-0.009401422881978757	-0.056962086108260854	0.019561278732837584
GSM3507265	-0.1120454628042591	-0.19763922351984967	-0.10539264417529805	-0.19390433775316596	-0.24602456948213214	-0.23710605202622073	-0.28307359261972487	0.19740083748880077	-0.24477463507138744	0.1693882297169942
GSM3507266	-0.14000583401537975	-0.03917666472013528	-0.1130661688209486	-0.003924456666705052	0.01597151263844803	-0.010776990885116907	-0.20997597093825984	0.238810168845415	0.0002810284626637693	0.2279744508461961
GSM3507267	-0.9416784758597423	-1.2221868609002502	-0.9326963883421362	-1.2763798719744077	-1.0715158983334863	-1.2130537521998124	0.7719556002231677	1.1237867561861747	-1.0818598334684917	1.0707060974248221
GSM3507268	-0.054548623191946	-0.04547910265779203	-0.043464042992514905	-0.06915909017908621	-0.07646506367096212	-0.08525558289316838	-0.08515425802290513	0.0014331309087621206	-0.06703825103505447	0.036346577041254914
GSM3507269	-0.6479557716655321	-0.7411114228116673	-0.6274308532221811	-0.7621243168551092	-0.666559469030238	-0.7672988655396372	-0.025044853505246933	1.0907871506332596	-0.6584928663513608	1.0716451756317822
GSM3507270	0.22278533860920766	0.40608047546951676	0.2328679006992488	0.37558805587058425	0.35935614122018267	0.40444158272336955	-0.051301447368552994	-0.576601559332802	0.3550610842786311	-0.5517015389535028
GSM3507271	0.7691113987539562	0.764856210477323	0.7701700840472353	0.7768440386936697	0.6835473896212712	0.7610702622187451	-0.3980216334320846	-0.49401930393641474	0.6764390689538113	-0.4599358753065975
GSM3507272	-0.06138349946599778	0.024942684620131012	-0.05453423776684576	0.016141982372850635	0.058464598952123525	0.0391601692165627	-0.12628678012445835	0.01997371616623369	0.024862173221013358	0.015043835142301037
GSM3507273	0.3249750828662141	0.2950259348316067	0.32803705678879114	0.2631610528379408	0.24981770866108122	0.2649629084949003	0.011240522642200117	-0.10034639306091127	0.2687364662406749	-0.09472153886285996
GSM3507274	0.22063879230234257	0.2831019026488706	0.2134133077779516	0.268621530941701	0.22522221080111957	0.2700062295924053	-0.31716251080855895	-0.07587820504546468	0.22681244880130144	-0.02827814790331192
GSM3507275	0.37943020970926816	0.38961481943979714	0.3650756492943682	0.4102636070500742	0.3741373065509941	0.40244385126416304	-0.19659471626512048	-0.6065376364317616	0.37005236055682583	-0.5904878541916605
GSM3507276	-0.17497843220046044	-0.13393638670989483	-0.1584994419659434	-0.11770110678352111	-0.14033044578603987	-0.11314673495037875	-0.08368952535994438	0.06624031057009337	-0.1392150002709736	0.0940039298192053
